name,title,chamber,level,state,party,date_of_birth,birth_year,age,generation,source,generation_short
Ned Lamont,Governor,N/A,State,CT,Democrat,1954-01-03,1954,72,Baby Boom Generation,Ballotpedia/Wikipedia,Boomer (1943-1960)
Matt Meyer,Governor,N/A,State,DE,Democrat,1976-01-01,1976,50,Gen X (13ers),Ballotpedia/Wikipedia,Gen X (1961-1981)
Ron DeSantis,Governor,N/A,State,FL,Republican,1978-09-14,1978,47,Gen X (13ers),Ballotpedia/Wikipedia,Gen X (1961-1981)
Brian Kemp,Governor,N/A,State,GA,Republican,1963-11-02,1963,62,Gen X (13ers),Ballotpedia/Wikipedia,Gen X (1961-1981)
Josh Green,Governor,N/A,State,HI,Democrat,1970-08-16,1970,55,Gen X (13ers),Ballotpedia/Wikipedia,Gen X (1961-1981)
Brad Little,Governor,N/A,State,ID,Republican,1954-02-15,1954,72,Baby Boom Generation,Ballotpedia/Wikipedia,Boomer (1943-1960)
JB Pritzker,Governor,N/A,State,IL,Democrat,1965-01-19,1965,61,Gen X (13ers),Ballotpedia/Wikipedia,Gen X (1961-1981)
Mike Braun,Governor,N/A,State,IN,Republican,1954-03-24,1954,71,Baby Boom Generation,Ballotpedia/Wikipedia,Boomer (1943-1960)
Kim Reynolds,Governor,N/A,State,IA,Republican,1959-08-04,1959,66,Baby Boom Generation,Ballotpedia/Wikipedia,Boomer (1943-1960)
Laura Kelly,Governor,N/A,State,KS,Democrat,1950-01-05,1950,76,Baby Boom Generation,Ballotpedia/Wikipedia,Boomer (1943-1960)
Andy Beshear,Governor,N/A,State,KY,Democrat,1977-11-29,1977,48,Gen X (13ers),Ballotpedia/Wikipedia,Gen X (1961-1981)
Jeff Landry,Governor,N/A,State,LA,Republican,1970-06-16,1970,55,Gen X (13ers),Ballotpedia/Wikipedia,Gen X (1961-1981)
Janet Mills,Governor,N/A,State,ME,Democrat,1947-12-31,1947,78,Baby Boom Generation,Ballotpedia/Wikipedia,Boomer (1943-1960)
Wes Moore,Governor,N/A,State,MD,Democrat,1978-10-15,1978,47,Gen X (13ers),Ballotpedia/Wikipedia,Gen X (1961-1981)
Maura Healey,Governor,N/A,State,MA,Democrat,1971-02-08,1971,55,Gen X (13ers),Ballotpedia/Wikipedia,Gen X (1961-1981)
Gretchen Whitmer,Governor,N/A,State,MI,Democrat,1971-08-23,1971,54,Gen X (13ers),Ballotpedia/Wikipedia,Gen X (1961-1981)
Tim Walz,Governor,N/A,State,MN,Democrat,1964-04-06,1964,61,Gen X (13ers),Ballotpedia/Wikipedia,Gen X (1961-1981)
Tate Reeves,Governor,N/A,State,MS,Republican,1974-06-05,1974,51,Gen X (13ers),Ballotpedia/Wikipedia,Gen X (1961-1981)
Mike Kehoe,Governor,N/A,State,MO,Republican,1966-01-01,1966,60,Gen X (13ers),Ballotpedia/Wikipedia,Gen X (1961-1981)
Greg Gianforte,Governor,N/A,State,MT,Republican,1961-04-17,1961,64,Gen X (13ers),Ballotpedia/Wikipedia,Gen X (1961-1981)
Jim Pillen,Governor,N/A,State,NE,Republican,1957-09-07,1957,68,Baby Boom Generation,Ballotpedia/Wikipedia,Boomer (1943-1960)
Joe Lombardo,Governor,N/A,State,NV,Republican,1967-07-01,1967,58,Gen X (13ers),Ballotpedia/Wikipedia,Gen X (1961-1981)
Kelly Ayotte,Governor,N/A,State,NH,Republican,1968-06-27,1968,57,Gen X (13ers),Ballotpedia/Wikipedia,Gen X (1961-1981)
Phil Murphy,Governor,N/A,State,NJ,Democrat,1967-08-16,1967,58,Gen X (13ers),Ballotpedia/Wikipedia,Gen X (1961-1981)
Michelle Lujan Grisham,Governor,N/A,State,NM,Democrat,1959-10-24,1959,66,Baby Boom Generation,Ballotpedia/Wikipedia,Boomer (1943-1960)
Kathy Hochul,Governor,N/A,State,NY,Democrat,1958-08-27,1958,67,Baby Boom Generation,Ballotpedia/Wikipedia,Boomer (1943-1960)
Josh Stein,Governor,N/A,State,NC,Democrat,1973-12-09,1973,52,Gen X (13ers),Ballotpedia/Wikipedia,Gen X (1961-1981)
Kelly Armstrong,Governor,N/A,State,ND,Republican,1979-10-08,1979,46,Gen X (13ers),Ballotpedia/Wikipedia,Gen X (1961-1981)
Mike DeWine,Governor,N/A,State,OH,Republican,1947-01-05,1947,79,Baby Boom Generation,Ballotpedia/Wikipedia,Boomer (1943-1960)
Kevin Stitt,Governor,N/A,State,OK,Republican,1973-12-28,1973,52,Gen X (13ers),Ballotpedia/Wikipedia,Gen X (1961-1981)
Tina Kotek,Governor,N/A,State,OR,Democrat,1968-05-27,1968,57,Gen X (13ers),Ballotpedia/Wikipedia,Gen X (1961-1981)
Josh Shapiro,Governor,N/A,State,PA,Democrat,1973-06-23,1973,52,Gen X (13ers),Ballotpedia/Wikipedia,Gen X (1961-1981)
Daniel McKee,Governor,N/A,State,RI,Democrat,1948-05-17,1948,77,Baby Boom Generation,Ballotpedia/Wikipedia,Boomer (1943-1960)
Henry McMaster,Governor,N/A,State,SC,Republican,1947-05-27,1947,78,Baby Boom Generation,Ballotpedia/Wikipedia,Boomer (1943-1960)
Kristi Noem,Governor,N/A,State,SD,Republican,1971-11-30,1971,54,Gen X (13ers),Ballotpedia/Wikipedia,Gen X (1961-1981)
Bill Lee,Governor,N/A,State,TN,Republican,1959-10-09,1959,66,Baby Boom Generation,Ballotpedia/Wikipedia,Boomer (1943-1960)
Greg Abbott,Governor,N/A,State,TX,Republican,1957-11-13,1957,68,Baby Boom Generation,Ballotpedia/Wikipedia,Boomer (1943-1960)
Spencer Cox,Governor,N/A,State,UT,Republican,1975-07-11,1975,50,Gen X (13ers),Ballotpedia/Wikipedia,Gen X (1961-1981)
Phil Scott,Governor,N/A,State,VT,Republican,1958-01--1,1958,68,Baby Boom Generation,Ballotpedia/Wikipedia,Boomer (1943-1960)
Glenn Youngkin,Governor,N/A,State,VA,Republican,1966-12-09,1966,59,Gen X (13ers),Ballotpedia/Wikipedia,Gen X (1961-1981)
Bob Ferguson,Governor,N/A,State,WA,Democrat,1969-02-23,1969,57,Gen X (13ers),Ballotpedia/Wikipedia,Gen X (1961-1981)
Patrick Morrisey,Governor,N/A,State,WV,Republican,1971-03-10,1971,54,Gen X (13ers),Ballotpedia/Wikipedia,Gen X (1961-1981)
Tony Evers,Governor,N/A,State,WI,Democrat,1951-11-05,1951,74,Baby Boom Generation,Ballotpedia/Wikipedia,Boomer (1943-1960)
Mark Gordon,Governor,N/A,State,WY,Republican,1957-06-20,1957,68,Baby Boom Generation,Ballotpedia/Wikipedia,Boomer (1943-1960)
