last,first,state,district,party,born,generation,since,years_served,seeking_reelection,age_now,age_end_next_term,chamber
Adams,Alma,NC,12,Democrat,1946,Baby Boom Generation,2014,13,True,80,83,House
Bishop,Sanford,GA,02,Democrat,1947,Baby Boom Generation,1993,34,True,79,82,House
Green,Al,TX,09,Democrat,1947,Baby Boom Generation,2005,22,True,79,82,House
Lofgren,Zoe,CA,18,Democrat,1947,Baby Boom Generation,1995,32,True,79,82,House
Scott,Robert,VA,03,Democrat,1947,Baby Boom Generation,1993,34,True,79,82,House
Wilson,Joe,SC,02,Republican,1947,Baby Boom Generation,2001,26,True,79,82,House
Radewagen,Aumua Amata,AS,00,Republican,1947,Baby Boom Generation,2015,12,True,79,82,House
Bergman,Jack,MI,01,Republican,1947,Baby Boom Generation,2017,10,True,79,82,House
Kelly,Mike,PA,16,Republican,1948,Baby Boom Generation,2011,16,True,78,81,House
Larson,John,CT,01,Democrat,1948,Baby Boom Generation,1999,28,True,78,81,House
Thompson,Bennie,MS,02,Democrat,1948,Baby Boom Generation,1993,34,True,78,81,House
Frankel,Lois,FL,22,Democrat,1948,Baby Boom Generation,2013,14,True,78,81,House
Babin,Brian,TX,36,Republican,1948,Baby Boom Generation,2015,12,True,78,81,House
Mfume,Kweisi,MD,07,Democrat,1948,Baby Boom Generation,1987,40,True,78,81,House
Cohen,Steve,TN,09,Democrat,1949,Baby Boom Generation,2007,20,True,77,80,House
Cole,Tom,OK,04,Republican,1949,Baby Boom Generation,2003,24,True,77,80,House
Neal,Richard,MA,01,Democrat,1949,Baby Boom Generation,1989,38,True,77,80,House
Tonko,Paul,NY,20,Democrat,1949,Baby Boom Generation,2009,18,True,77,80,House
Webster,Daniel,FL,11,Republican,1949,Baby Boom Generation,2011,16,True,77,80,House
Williams,Roger,TX,25,Republican,1949,Baby Boom Generation,2013,14,True,77,80,House
Simpson,Michael,ID,02,Republican,1950,Baby Boom Generation,1999,28,True,76,79,House
Titus,Dina,NV,01,Democrat,1950,Baby Boom Generation,2009,18,True,76,79,House
Beatty,Joyce,OH,03,Democrat,1950,Baby Boom Generation,2013,14,True,76,79,House
Beyer,Donald,VA,08,Democrat,1950,Baby Boom Generation,2015,12,True,76,79,House
Garcia,Sylvia,TX,29,Democrat,1950,Baby Boom Generation,2019,8,True,76,79,House
Miller,Carol,WV,01,Republican,1950,Baby Boom Generation,2019,8,True,76,79,House
Moore,Gwen,WI,04,Democrat,1951,Baby Boom Generation,2005,22,True,75,78,House
